system:index,District_Name,NDVI,Year,.geo
1_1_1_1_2_0001000000000000180c,Gorakhpur,0.3542942788744039,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_000100000000000017f8,Aligarh,0.38489488295887336,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00010000000000001825,Varanasi,0.3760429036544004,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00010000000000001818,Meerut,0.4658548784151139,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_000100000000000017f7,Agra,0.3420148735023782,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_000100000000000017ff,Bareilly,0.4050488910142954,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00010000000000001811,Jhansi,0.3571676171726771,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00010000000000001815,Lucknow,0.4232906831113631,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0001000000000000180c,Gorakhpur,0.39034546505197554,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_000100000000000017f8,Aligarh,0.39648857654286723,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00010000000000001825,Varanasi,0.3981069904278235,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00010000000000001818,Meerut,0.45211071047217805,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_000100000000000017f7,Agra,0.3623960241748153,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_000100000000000017ff,Bareilly,0.4179465383591956,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00010000000000001811,Jhansi,0.3625897031958005,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00010000000000001815,Lucknow,0.4292200929026694,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0001000000000000180c,Gorakhpur,0.40234693263608423,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000100000000000017f8,Aligarh,0.4116323066144078,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00010000000000001825,Varanasi,0.3717226106801006,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00010000000000001818,Meerut,0.42882754193928424,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000100000000000017f7,Agra,0.3997935058335915,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000100000000000017ff,Bareilly,0.42596218179380224,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00010000000000001811,Jhansi,0.43621038420023445,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
