State_Name,District_Name,Year,Crop,Yield
rajasthan,ajmer,2019,maize,0.060412768611441854
rajasthan,ajmer,2019,moong(green gram),0.019676863857374393
rajasthan,ajmer,2019,rice,1.5714285714285714
rajasthan,ajmer,2019,sesamum,0.021022437030924594
rajasthan,ajmer,2019,small millets,0.014234875444839857
rajasthan,ajmer,2019,soyabean,1.1904761904761905
rajasthan,ajmer,2019,urad,0.023617762298650414
rajasthan,ajmer,2019,barley,2.2001017035341977
rajasthan,ajmer,2019,gram,0.41139240506329117
rajasthan,ajmer,2019,linseed,1.0
rajasthan,ajmer,2019,masoor,1.0
rajasthan,ajmer,2019,other oilseeds,0.17426850258175558
rajasthan,ajmer,2019,rapeseed &mustard,0.559677983899195
rajasthan,ajmer,2019,wheat,2.4715215158086976
rajasthan,ajmer,2019,coriander,0.37755102040816324
rajasthan,ajmer,2019,dry chillies,0.2747524752475248
rajasthan,ajmer,2019,guar seed,0.004864489228630994
rajasthan,ajmer,2019,onion,1.5111524163568772
rajasthan,ajmer,2019,sugarcane,57.57142857142857
rajasthan,ajmer,2020,arhar/tur,1.0
rajasthan,ajmer,2020,bajra,1.3612836877928798
rajasthan,ajmer,2020,castor seed,0.31932773109243695
rajasthan,ajmer,2020,cotton(lint),0.2947272173117952
rajasthan,ajmer,2020,groundnut,1.4113300492610839
rajasthan,ajmer,2020,jowar,0.7580668291983365
rajasthan,ajmer,2020,maize,1.506310172506282
rajasthan,ajmer,2020,moong(green gram),0.7524338192979091
rajasthan,ajmer,2020,moth,0.5528455284552846
rajasthan,ajmer,2020,other kharif pulses,0.5666041275797373
rajasthan,ajmer,2020,rice,2.0
rajasthan,ajmer,2020,sesamum,0.3813141972702969
rajasthan,ajmer,2020,small millets,0.5736842105263158
rajasthan,ajmer,2020,soyabean,1.4
rajasthan,ajmer,2020,urad,0.7224604966139955
rajasthan,ajmer,2020,barley,2.259226007654869
rajasthan,ajmer,2020,gram,0.8314991946586523
rajasthan,ajmer,2020,linseed,0.6071428571428571
rajasthan,ajmer,2020,masoor,0.88
rajasthan,ajmer,2020,other oilseeds,0.5988407766139282
rajasthan,ajmer,2020,rapeseed &mustard,1.5596300634061628
rajasthan,ajmer,2020,wheat,3.2322533503311464
rajasthan,ajmer,2020,coriander,1.1045751633986929
rajasthan,ajmer,2020,dry chillies,0.7910447761194029
rajasthan,ajmer,2020,garlic,1.625
rajasthan,ajmer,2020,guar seed,0.8581960784313726
rajasthan,ajmer,2020,onion,4.688
rajasthan,ajmer,2020,potato,10.0
rajasthan,ajmer,2020,sugarcane,67.0
rajasthan,ajmer,2020,sweet potato,1.3137254901960784
rajasthan,alwar,2015,arhar/tur,0.9417828987265009
rajasthan,alwar,2015,bajra,1.2478215120278044
rajasthan,alwar,2015,castor seed,1.0
rajasthan,alwar,2015,cotton(lint),1.5647768019539572
rajasthan,alwar,2015,groundnut,1.5463649851632046
rajasthan,alwar,2015,jowar,0.5756058914617019
rajasthan,alwar,2015,maize,1.1825324527442496
rajasthan,alwar,2015,moong(green gram),0.15555555555555556
rajasthan,alwar,2015,moth,0.15
