District_Name,Year,Yield
Agra,2015,3.30971253270213
Agra,2016,2.7699190524469337
Agra,2017,3.153938122551968
Agra,2018,3.2929964303849273
Agra,2019,3.1829989646759
Agra,2020,3.7034802885033167
Agra,2021,3.8969998145744484
Agra,2022,3.8319655420382683
Agra,2023,3.7059996977482244
Agra,2024,2.411001499603046
Aligarh,2015,3.045002254063123
Aligarh,2016,2.855999173828318
Aligarh,2017,3.2169997721958
Aligarh,2018,3.3869999412293907
Aligarh,2019,3.193001708532402
Aligarh,2020,3.5450004282964174
Aligarh,2021,3.7659994490864017
Aligarh,2022,3.465000412136976
Aligarh,2023,3.601001380449112
Aligarh,2024,2.448001719913825
Prayagraj,2015,1.976827582609603
Prayagraj,2016,2.3354589938006907
Prayagraj,2017,2.233698494214189
Prayagraj,2018,2.4937469590759194
Prayagraj,2019,2.139344262295082
Prayagraj,2020,2.465285362865311
Prayagraj,2021,2.643911848788476
Prayagraj,2022,2.492089569850505
Prayagraj,2023,2.4361466460841057
Prayagraj,2024,1.3637425090735167
Ambedkar Nagar,2015,2.9770000784088237
Ambedkar Nagar,2016,2.959996865913325
Ambedkar Nagar,2017,3.243998581943413
Ambedkar Nagar,2018,3.312999932782147
Ambedkar Nagar,2019,3.1300026675156825
Ambedkar Nagar,2020,3.3520012684095555
Ambedkar Nagar,2021,3.3569987966713555
Ambedkar Nagar,2022,3.341996703193461
Ambedkar Nagar,2023,3.4439996959947305
Ambedkar Nagar,2024,2.297000774154881
Amethi,2020,2.7929943203696572
Amethi,2021,2.874002617132644
Amethi,2022,3.0620007908264135
Amethi,2023,2.3799968548513917
Amethi,2024,1.8199974838019752
Amroha,2015,2.9030050580184468
Amroha,2016,3.1419990656492627
Amroha,2017,3.006002882250322
Amroha,2018,3.1550038740354713
Amroha,2019,2.846999846539465
Amroha,2020,3.17100072807885
Amroha,2021,3.1630016915269876
Amroha,2022,3.2109950143794626
Amroha,2023,3.292994937009489
Amroha,2024,2.1089959918307613
Auraiya,2015,2.9249950870144334
Auraiya,2016,3.138002920696734
Auraiya,2017,3.0560042339243187
Auraiya,2018,3.537995465959112
Auraiya,2019,2.8730007329390856
Auraiya,2020,3.7509987478385307
Auraiya,2021,3.8480016546181575
Auraiya,2022,3.6279958318860714
Auraiya,2023,3.813998505088449
Auraiya,2024,2.264996501854496
Azamgarh,2015,2.397999261321154
Azamgarh,2016,2.448998125014119
Azamgarh,2017,2.5939997991783774
Azamgarh,2018,2.7300002157823187
Azamgarh,2019,2.586992091628034
Azamgarh,2020,2.7970014657399407
Azamgarh,2021,2.892001697895822
Azamgarh,2022,2.9430014001442575
Azamgarh,2023,3.094998492224185
Azamgarh,2024,2.1180006314140805
Baghpat,2015,3.269992892186606
Baghpat,2016,4.026993517304899
Baghpat,2017,3.3649967354285413
Baghpat,2018,3.795998291085161
Baghpat,2019,3.6310005886865153
Baghpat,2020,4.119005423983674
Baghpat,2021,4.240008739508038
Baghpat,2022,4.4459957556126435
Baghpat,2023,4.501996494841635
Baghpat,2024,3.389994589581079
Bahraich,2015,2.4042340735937753
Bahraich,2016,2.6449319825582913
Bahraich,2017,2.748001131869361
Bahraich,2018,2.8308959186428475
Bahraich,2019,2.599928883018916
Bahraich,2020,2.9049410851354227
Bahraich,2021,3.0668411239409896
Bahraich,2022,2.8449982204516933
Bahraich,2023,3.2339972948978435
Bahraich,2024,2.375998553040123
Ballia,2015,2.1079197977629254
Ballia,2016,2.4709933294764648
Ballia,2017,2.599528848835332
Ballia,2018,2.7091487840735895
Ballia,2019,2.536929590716638
Ballia,2020,2.9344372149326645
Ballia,2021,3.2462262864361646
Ballia,2022,3.377683919294786
Ballia,2023,2.871646078296255
Ballia,2024,2.269085678425621
Balrampur,2015,2.216004322247569
Balrampur,2016,2.435944791243428
Balrampur,2017,3.501815514836724
Balrampur,2018,2.7900017061934825
Balrampur,2019,2.889001687908217
Balrampur,2020,2.838978244868902
Balrampur,2021,2.881950282214483
Balrampur,2022,2.7150046683214537
Balrampur,2023,2.7593716862626287
Balrampur,2024,2.1019989805642356
Banda,2015,1.4024967681233698
Banda,2016,1.4664495267766526
Banda,2017,1.3314989138305575
Banda,2018,1.809562104026517
Banda,2019,1.6758514304314291
Banda,2020,1.8146554091158704
Banda,2021,2.085174106965602
Banda,2022,2.230928827404994
Banda,2023,1.9005577057873404
Banda,2024,0.9096590459615537
Barabanki,2015,2.905998518884226
Barabanki,2016,2.9559972509585473
Barabanki,2017,2.9069991799720225
Barabanki,2018,3.0739986289295858
Barabanki,2019,3.0790023267336046
Barabanki,2020,3.251892072708158
Barabanki,2021,3.5099976403084985
Barabanki,2022,3.715999039059757
Barabanki,2023,3.547002696162322
Barabanki,2024,2.369999214259379
Bareilly,2015,2.5350010910738963
Bareilly,2016,2.8500010162188527
Bareilly,2017,2.8229987684729063
Bareilly,2018,2.98599782490484
Bareilly,2019,2.794997859382121
Bareilly,2020,2.9140020811857874
Bareilly,2021,3.2529981723041486
Bareilly,2022,3.069997953714009
Bareilly,2023,3.1509987602975285
Bareilly,2024,1.8579996048880987
Basti,2015,2.290000197118133
Basti,2016,2.3689996239516558
Basti,2017,2.420004799930183
Basti,2018,2.7769990726870675
Basti,2019,2.4620029057880863
Basti,2020,2.7659994117545286
Basti,2021,3.1490035452448972
Basti,2022,2.9130025785101754
Basti,2023,3.2179983701998607
Basti,2024,2.1220011702750146
Bijnor,2015,2.737997452132413
Bijnor,2016,2.9530023330287682
Bijnor,2017,2.925000459668671
Bijnor,2018,2.9869886127803946
Bijnor,2019,2.8609996798312523
Bijnor,2020,3.047998927997141
Bijnor,2021,3.2020032014635262
Bijnor,2022,3.1929979007245888
Bijnor,2023,3.3039978371802237
Bijnor,2024,2.7029995195277645
Budaun,2015,2.716998846349719
Budaun,2016,2.990999090389863
Budaun,2017,2.850000850991405
Budaun,2018,3.1970005121076888
Budaun,2019,3.467998844375963
Budaun,2020,3.3960003523918596
Budaun,2021,3.4689999488813537
Budaun,2022,3.324000607995136
Budaun,2023,3.645001833815559
Budaun,2024,2.1050018389113645
Bulandshahr,2015,3.3379991484843545
Bulandshahr,2016,3.7709981843043194
Bulandshahr,2017,3.570998101213572
Bulandshahr,2018,3.957000788463006
Bulandshahr,2019,3.710001586172668
Bulandshahr,2020,3.94700190206941
Bulandshahr,2021,4.2159984217075905
Bulandshahr,2022,4.029998350039187
Bulandshahr,2023,4.121000460077795
Bulandshahr,2024,2.7310018971256755
Chandauli,2015,1.7302590420850608
Chandauli,2016,2.2627240813901026
Chandauli,2017,2.2586134881280056
Chandauli,2018,2.324995100921027
Chandauli,2019,2.0700025713551042
Chandauli,2020,2.542543841292429
Chandauli,2021,2.5430045007214077
Chandauli,2022,2.9900043373684
Chandauli,2023,2.625001221430735
Chandauli,2024,1.468689111897928
Chitrakoot,2015,1.523884327026062
Chitrakoot,2016,1.252945812429118
Chitrakoot,2017,1.1830316794512294
Chitrakoot,2018,1.7150418787645259
Chitrakoot,2019,1.879410519835315
Chitrakoot,2020,1.783543702357097
Chitrakoot,2021,2.5036757892135664
Chitrakoot,2022,2.405396936574936
Chitrakoot,2023,1.9558287361368278
Chitrakoot,2024,1.1170091743119266
